cluster_collection	cluster_title	canonical	canonical_era	canonical_archivedAt	canonical_local_imgs	canonical_ext_imgs	canonical_prose	decision_mode	original_rule_pick	rule_changed	demoted	demoted_details	risky_flags	reason
articles	about	about.md	drupal	2020-03-02T05:52:08Z	1	1	2579	era-candidate	about.md	no	about-2.md	about-2.md[era=drupal,archivedAt=2020-01-20T07:52:02Z,local=1,ext=1,prose=2579]		mode=era-candidate; era=drupal; archivedAt=2020-03-02T05:52:08Z; prose=2579 (100% of max 2579); local_imgs=1, ext_imgs=1
articles	composting rhubarb	composting-rhubarb.md	drupal	2020-03-02T05:52:18Z	2	0	1390	era-candidate	composting-rhubarb.md	no	composting-rhubarb-2.md	composting-rhubarb-2.md[era=drupal,archivedAt=2017-06-29T12:57:15Z,local=2,ext=0,prose=1390]		mode=era-candidate; era=drupal; archivedAt=2020-03-02T05:52:18Z; prose=1390 (100% of max 1390); local_imgs=2, ext_imgs=0
articles	emerging rhubarb flower	emerging-rhubarb-flower.md	drupal	2020-02-01T02:20:35Z	0	1	72	era-candidate	emerging-rhubarb-flower.md	no	emerging-rhubarb-flower-2.md	emerging-rhubarb-flower-2.md[era=drupal,archivedAt=2016-08-27T10:09:21Z,local=0,ext=1,prose=72]		mode=era-candidate; era=drupal; archivedAt=2020-02-01T02:20:35Z; prose=72 (100% of max 72); local_imgs=0, ext_imgs=1
articles	forcing rhubarb	forcing-rhubarb-4.md	static	2008-10-18T23:50:19Z	1	0	4526	prose-richest	forcing-rhubarb.md	yes	forcing-rhubarb.md;forcing-rhubarb-2.md;forcing-rhubarb-3.md	forcing-rhubarb.md[era=blogger,archivedAt=2024-10-14T02:06:15Z,local=2,ext=0,prose=2821] | forcing-rhubarb-2.md[era=drupal,archivedAt=2020-03-02T05:52:34Z,local=4,ext=0,prose=3336] | forcing-rhubarb-3.md[era=drupal,archivedAt=2019-06-30T16:31:15Z,local=4,ext=0,prose=3336]	rule-change: refined rule picks forcing-rhubarb-4.md; original era-priority would pick forcing-rhubarb.md ;; loser forcing-rhubarb.md has 2 local imgs vs canonical 1 ;; loser forcing-rhubarb-2.md has 4 local imgs vs canonical 1 ;; loser forcing-rhubarb-3.md has 4 local imgs vs canonical 1	mode=prose-richest; era=static; prose=4526 (100% of max 4526)
articles	growing rhubarb from seed	growing-rhubarb-from-seed-2.md	drupal	2020-03-02T05:52:59Z	2	0	3342	era-candidate	growing-rhubarb-from-seed-2.md	no	growing-rhubarb-from-seed.md	growing-rhubarb-from-seed.md[era=drupal,archivedAt=2020-03-02T04:27:57Z,local=2,ext=0,prose=3342]		mode=era-candidate; era=drupal; archivedAt=2020-03-02T05:52:59Z; prose=3342 (100% of max 3342); local_imgs=2, ext_imgs=0
articles	medicinal uses of rhubarb	medicinal-uses-of-rhubarb-2.md	static	2008-10-17T08:50:07Z	2	0	9573	prose-richest	medicinal-uses-of-rhubarb.md	yes	medicinal-uses-of-rhubarb.md	medicinal-uses-of-rhubarb.md[era=drupal,archivedAt=2020-03-02T05:52:54Z,local=2,ext=0,prose=4176]	rule-change: refined rule picks medicinal-uses-of-rhubarb-2.md; original era-priority would pick medicinal-uses-of-rhubarb.md	mode=prose-richest; era=static; prose=9573 (100% of max 9573)
articles	nutritional information	nutritional-information-2.md	drupal	2019-12-28T17:07:58Z	2	0	816	era-candidate	nutritional-information-2.md	no	nutritional-information.md	nutritional-information.md[era=drupal,archivedAt=2019-07-01T00:01:06Z,local=2,ext=0,prose=816]		mode=era-candidate; era=drupal; archivedAt=2019-12-28T17:07:58Z; prose=816 (100% of max 816); local_imgs=2, ext_imgs=0
articles	other uses for rhubarb	other-uses-for-rhubarb.md	drupal	2019-06-30T18:33:38Z	4	0	6875	era-candidate	other-uses-for-rhubarb.md	no	other-uses-for-rhubarb-2.md	other-uses-for-rhubarb-2.md[era=static,archivedAt=2008-10-21T03:29:15Z,local=5,ext=0,prose=7867]	loser other-uses-for-rhubarb-2.md has 5 local imgs vs canonical 4	mode=era-candidate; era=drupal; archivedAt=2019-06-30T18:33:38Z; prose=6875 (87% of max 7867)
articles	poison information	poison-information-2.md	drupal	2020-02-26T22:11:59Z	1	4	6410	era-candidate	poison-information-2.md	no	poison-information.md	poison-information.md[era=drupal,archivedAt=2020-02-23T00:10:27Z,local=1,ext=4,prose=6410]		mode=era-candidate; era=drupal; archivedAt=2020-02-26T22:11:59Z; prose=6410 (100% of max 6410); local_imgs=1, ext_imgs=4
articles	propagating rhubarb	propagating-rhubarb.md	blogger	2024-09-20T19:36:40Z	3	0	5499	era-candidate	propagating-rhubarb.md	no	propagating-rhubarb-2.md	propagating-rhubarb-2.md[era=drupal,archivedAt=2020-02-23T00:07:51Z,local=6,ext=0,prose=6102]	loser propagating-rhubarb-2.md has 6 local imgs vs canonical 3	mode=era-candidate; era=blogger; prose=5499 (90% of max 6102)
